Sample in Buffer,Sample in Window,TRIGGER,cpu_test_i/PS_to_CPU_controller_0_enable_CPU,cpu_test_i/CPU_0_current_addr[15:0],cpu_test_i/PS_to_CPU_controller_0_CPU_done,cpu_test_i/bluex_0_ram_wr_data[31:0],cpu_test_i/blk_mem_gen_1_doutb[31:0],cpu_test_i/bluex_0_ram_en
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
450,450,0,1,ffda,0,00000000,00000000,0
451,451,0,1,ffdb,0,00000000,00000000,0
452,452,0,1,ffdc,0,00000000,00000000,0
453,453,0,1,ffdd,0,00000000,00000000,0
454,454,0,1,ffde,0,00000000,00000000,0
455,455,0,1,ffdf,0,00000000,00000000,0
456,456,0,1,ffe0,0,00000000,00000000,0
457,457,0,1,ffe1,0,00000000,00000000,0
458,458,0,1,ffe2,0,00000000,00000000,0
459,459,0,1,ffe3,0,00000000,00000000,0
460,460,0,1,ffe4,0,00000000,00000000,0
461,461,0,1,ffe5,0,00000000,00000000,0
462,462,0,1,ffe6,0,00000000,00000000,0
463,463,0,1,ffe7,0,00000000,00000000,0
464,464,0,1,ffe8,0,00000000,00000000,0
465,465,0,1,ffe9,0,00000000,00000000,0
466,466,0,1,ffea,0,00000000,00000000,0
467,467,0,1,ffeb,0,00000000,00000000,0
468,468,0,1,ffec,0,00000000,00000000,0
469,469,0,1,ffed,0,00000000,00000000,0
470,470,0,1,ffee,0,00000000,00000000,0
471,471,0,1,ffef,0,00000000,00000000,0
472,472,0,1,fff0,0,00000000,00000000,0
473,473,0,1,fff1,0,00000000,00000000,0
474,474,0,1,fff2,0,00000000,00000000,0
475,475,0,1,fff3,0,00000000,00000000,0
476,476,0,1,fff4,0,00000000,00000000,0
477,477,0,1,fff5,0,00000000,00000000,0
478,478,0,1,fff6,0,00000000,00000000,0
479,479,0,1,fff7,0,00000000,00000000,0
480,480,0,1,fff8,0,00000000,00000000,0
481,481,0,1,fff9,0,00000000,00000000,0
482,482,0,1,fffa,0,00000000,00000000,0
483,483,0,1,fffb,0,00000000,00000000,0
484,484,0,1,fffc,0,00000000,00000000,0
485,485,0,1,fffd,0,00000000,00000000,0
486,486,0,1,fffe,0,00000000,00000000,0
487,487,0,1,ffff,0,00000000,00000000,0
488,488,0,1,0000,0,00000000,00000000,0
489,489,0,1,0001,0,00000000,00000000,0
490,490,0,1,0002,0,00000000,00000000,0
491,491,0,1,0003,0,00000000,00000000,0
492,492,0,1,0004,0,00000000,00000000,0
493,493,0,1,0005,0,00000000,00000000,0
494,494,0,1,0006,0,00000000,00000000,0
495,495,0,1,0007,0,00000000,00000000,0
496,496,0,1,0008,0,00000000,00000000,0
497,497,0,1,0009,0,00000000,00000000,0
498,498,0,1,000a,0,00000000,00000000,0
499,499,0,1,000b,0,00000000,00000000,0
500,500,0,1,000c,0,00000000,00000000,0
501,501,0,1,000d,0,00000000,00000000,0
502,502,0,1,000e,0,00000000,00000000,0
503,503,0,1,000f,0,00000000,00000000,0
504,504,0,1,0010,0,00000000,00000000,0
505,505,0,1,0011,0,00000000,00000000,0
506,506,0,1,0012,0,00000000,00000000,0
507,507,0,1,0013,0,00000000,00000000,0
508,508,0,1,0014,0,00000000,00000000,0
509,509,0,1,0015,0,00000000,00000000,0
510,510,0,1,0016,0,00000000,00000000,0
511,511,0,1,0017,0,00000000,00000000,0
512,512,1,1,0018,1,00000000,00000000,0
513,513,0,1,0019,0,00000000,00000000,0
514,514,0,1,001a,0,00000000,00000000,0
515,515,0,1,001b,0,00000000,00000000,0
516,516,0,1,001c,0,00000000,00000000,0
517,517,0,1,001d,0,00000000,00000000,0
518,518,0,1,001e,0,00000000,00000000,0
519,519,0,1,001f,0,00000000,00000000,0
520,520,0,1,0020,0,00000000,00000000,0
521,521,0,1,0021,0,00000000,00000000,0
522,522,0,1,0022,0,00000000,00000000,0
